rowId,parentRowRef,parentTeamName,parentTeamId,name,visibility,callsignPrefix,color,canJoin
r1,,,3,Te Hiku,public,TEHI,,
d1,r1,,,Northland,public,NORT,,
,d1,,,Ahipara,public,AHIP,,true
,d1,,,Broadwood,public,BROA,,true
,d1,,,Cavalli,public,CAVA,,true
,d1,,,Hihi,public,HIHI,,true
,d1,,,Houhora,public,HOUH,,true
,d1,,,Kaeo,public,KAEO,,true
,d1,,,Kaitaia,public,KAIT,,true
,d1,,,Karikari,public,KARI,,true
,d1,,,Kohukohu,public,KOHU,,true
,d1,,,Mangonui,public,MANG,,true
,d1,,,Rangiputa,public,RANG,,true
,d1,,,Taupo Bay,public,TAUP,,true
,d1,,,Kaikohe (RFF),public,KAIK,,true
,d1,,,Kaikohe (VFB),public,KAI,,true
,d1,,,Kawakawa,public,KAWA,,true
,d1,,,Kerikeri,public,KERI,,true
,d1,,,Okaihau,public,OKAI,,true
,d1,,,Omapere,public,OMAP,,true
,d1,,,Paihia,public,PAIH,,true
,d1,,,Rawene,public,RAWE,,true
,d1,,,Rawhiti,public,RAWH,,true
,d1,,,Russell,public,RUSS,,true
,d1,,,Hikurangi,public,HIKU,,true
,d1,,,Kamo,public,KAMO,,true
,d1,,,Ngunguru,public,NGUN,,true
,d1,,,Onerahi,public,ONER,,true
,d1,,,Portland,public,PORT,,true
,d1,,,Towai,public,TOWA,,true
,d1,,,Whananaki,public,WHAN,,true
,d1,,,Whangarei Heads,public,WHA,,true
,d1,,,Whangarei Kaipara Operational Support Unit,public,WKOS,,true
,d1,,,Whangarei,public,WHNG,,true
,d1,,,Dargaville,public,DARG,,true
,d1,,,Kaiwaka,public,KAIW,,true
,d1,,,Mangawhai,public,MAN,,true
,d1,,,Maungakaramea,public,MAUN,,true
,d1,,,Maungaturoto,public,MAU,,true
,d1,,,Paparoa,public,PAPA,,true
,d1,,,Ruakaka,public,RUAK,,true
,d1,,,Ruawai,public,RUAW,,true
,d1,,,Te Kopuru,public,TEKO,,true
,d1,,,Tinopai,public,TINO,,true
,d1,,,Waipu,public,WAIP,,true
d2,r1,,,Waitemata,public,WAIT,,
,d2,,,Ahuroa,public,AHUR,,true
,d2,,,Kawau Island,public,KISL,,true
,d2,,,Leigh,public,LEIG,,true
,d2,,,Mahurangi East,public,MAHU,,true
,d2,,,Matakana,public,MATA,,true
,d2,,,Puhoi,public,PUHO,,true
,d2,,,Warkworth,public,WARK,,true
,d2,,,Wellsford,public,WELL,,true
,d2,,,Albany,public,ALBA,,true
